Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5412","Yield","01373","Chestnuts, in shell","2023","2023","kg/ha","3815.5","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01703","Chick peas, dry","2023","2023","kg/ha","1171.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01691","Chicory roots","2023","2023","kg/ha","13014.6","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2023","2023","kg/ha","3229.8","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2023","2023","kg/ha","18548.6","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01655","Cinnamon and cinnamon-tree flowers, raw","2023","2023","kg/ha","670.3","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01656","Cloves (whole stems), raw","2023","2023","kg/ha","265.1","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01640","Cocoa beans","2023","2023","kg/ha","480.5","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01460","Coconuts, in shell","2023","2023","kg/ha","5747","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01610","Coffee, green","2023","2023","kg/ha","908","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01706","Cow peas, dry","2023","2023","kg/ha","634.6","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01355.02","Cranberries","2023","2023","kg/ha","23670","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01232","Cucumbers and gherkins","2023","2023","kg/ha","44579.4","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01351.01","Currants","2023","2023","kg/ha","5251.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01314","Dates","2023","2023","kg/ha","7447.6","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2023","2023","kg/ha","13822.2","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01233","Eggplants (aubergines)","2023","2023","kg/ha","31617.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01315","Figs","2023","2023","kg/ha","4352.9","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01193","Fonio","2023","2023","kg/ha","742.9","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01657","Ginger, raw","2023","2023","kg/ha","11022.3","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01351.02","Gooseberries","2023","2023","kg/ha","4807.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01330","Grapes","2023","2023","kg/ha","10990","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01290.01","Green corn (maize)","2023","2023","kg/ha","9090.2","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01252","Green garlic","2023","2023","kg/ha","16968.2","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0142","Groundnuts, excluding shelled","2023","2023","kg/ha","1755.2","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01374","Hazelnuts, in shell","2023","2023","kg/ha","1043.6","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01449.02","Hempseed","2023","2023","kg/ha","974","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01659","Hop cones","2023","2023","kg/ha","1636.1","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01499.03","Jojoba seeds","2023","2023","kg/ha","470.8","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01922.01","Jute, raw or retted","2023","2023","kg/ha","2412.5","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01499.05","Kapok fruit","2023","2023","kg/ha","1619","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01499.01","Karite nuts (sheanuts)","2023","2023","kg/ha","1208.5","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01922.02","Kenaf, and other textile bast fibres, raw or retted","2023","2023","kg/ha","1485.3","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01352","Kiwi fruit","2023","2023","kg/ha","15481.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01379.02","Kola nuts","2023","2023","kg/ha","558.3","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01254","Leeks and other alliaceous vegetables","2023","2023","kg/ha","16846.9","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01322","Lemons and limes","2023","2023","kg/ha","17031.8","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01704","Lentils, dry","2023","2023","kg/ha","1245.4","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01214","Lettuce and chicory","2023","2023","kg/ha","22265.3","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01441","Linseed","2023","2023","kg/ha","843","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01356","Locust beans (carobs)","2023","2023","kg/ha","3600","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01709.02","Lupins","2023","2023","kg/ha","1719.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","5962.3","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01316","Mangoes, guavas and mangosteens","2023","2023","kg/ha","9920.2","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01630","Maté leaves","2023","2023","kg/ha","6266","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01449.01","Melonseed","2023","2023","kg/ha","530.6","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0118","Millet","2023","2023","kg/ha","1008.4","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01199.02","Mixed grain","2023","2023","kg/ha","3155.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01442","Mustard seed","2023","2023","kg/ha","935.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01950.01","Natural rubber in primary forms","2023","2023","kg/ha","1087","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01653","Nutmeg, mace, cardamoms, raw","2023","2023","kg/ha","361","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0117","Oats","2023","2023","kg/ha","2339.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01491.01","Oil palm fruit","2023","2023","kg/ha","14128.5","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01239.01","Okra","2023","2023","kg/ha","3906.8","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01450","Olives","2023","2023","kg/ha","1822","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","kg/ha","19046.1","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01253.01","Onions and shallots, green","2023","2023","kg/ha","22566.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01323","Oranges","2023","2023","kg/ha","20459.3","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01241.90","Other beans, green","2023","2023","kg/ha","14911.8","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2023","2023","kg/ha","6909.3","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01329","Other citrus fruit, n.e.c.","2023","2023","kg/ha","9198.5","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01929.90","Other fibre crops, raw, n.e.c.","2023","2023","kg/ha","1247.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01359.90","Other fruits, n.e.c.","2023","2023","kg/ha","7219.2","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2023","2023","kg/ha","1160.1","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01449.90","Other oil seeds, n.e.c.","2023","2023","kg/ha","894.8","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01349.10","Other pome fruits","2023","2023","kg/ha","6042.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01709.90","Other pulses n.e.c.","2023","2023","kg/ha","833.5","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01699","Other stimulant, spice and aromatic crops, n.e.c.","2023","2023","kg/ha","2184.4","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01349.20","Other stone fruits","2023","2023","kg/ha","8133.8","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01809","Other sugar crops n.e.c.","2023","2023","kg/ha","7194.5","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01319","Other tropical fruits, n.e.c.","2023","2023","kg/ha","7579.2","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01290.90","Other vegetables, fresh n.e.c.","2023","2023","kg/ha","14210.4","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01317","Papayas","2023","2023","kg/ha","30731.4","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01345","Peaches and nectarines","2023","2023","kg/ha","17339.4","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01342.01","Pears","2023","2023","kg/ha","20032.4","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01705","Peas, dry","2023","2023","kg/ha","1857.9","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01242","Peas, green","2023","2023","kg/ha","8074.5","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01651","Pepper (Piper spp.), raw","2023","2023","kg/ha","1275.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01930.01","Peppermint, spearmint","2023","2023","kg/ha","16901.4","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01359.01","Persimmons","2023","2023","kg/ha","4086.2","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01707","Pigeon peas, dry","2023","2023","kg/ha","851.1","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01318","Pineapples","2023","2023","kg/ha","28079.3","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01375","Pistachios, in shell","2023","2023","kg/ha","1276.2","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01313","Plantains and cooking bananas","2023","2023","kg/ha","6379.6","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01346","Plums and sloes","2023","2023","kg/ha","4763.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01321","Pomelos and grapefruits","2023","2023","kg/ha","24724.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01448","Poppy seed","2023","2023","kg/ha","449.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01510","Potatoes","2023","2023","kg/ha","22803.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01235","Pumpkins, squash and gourds","2023","2023","kg/ha","15258.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01930.02","Pyrethrum, dried flowers","2023","2023","kg/ha","434.4","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01342.02","Quinces","2023","2023","kg/ha","9158.8","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01194","Quinoa","2023","2023","kg/ha","676.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01929.04","Ramie, raw or retted","2023","2023","kg/ha","2170.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01443","Rape or colza seed","2023","2023","kg/ha","2114.4","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01353.01","Raspberries","2023","2023","kg/ha","7773.1","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0113","Rice","2023","2023","kg/ha","4751.8","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0116","Rye","2023","2023","kg/ha","3184.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01446","Safflower seed","2023","2023","kg/ha","794.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01921.01","Seed cotton, unginned","2023","2023","kg/ha","2304.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01444","Sesame seed","2023","2023","kg/ha","520.1","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01929.05","Sisal, raw","2023","2023","kg/ha","860.6","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0114","Sorghum","2023","2023","kg/ha","1437.8","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01344.01","Sour cherries","2023","2023","kg/ha","6849.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","0141","Soya beans","2023","2023","kg/ha","2711.2","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01215","Spinach","2023","2023","kg/ha","36141.9","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01354","Strawberries","2023","2023","kg/ha","24105.8","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01241.01","String beans","2023","2023","kg/ha","10207","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01801","Sugar beet","2023","2023","kg/ha","62208.5","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01802","Sugar cane","2023","2023","kg/ha","74950.6","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01445","Sunflower seed","2023","2023","kg/ha","1942.8","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01530","Sweet potatoes","2023","2023","kg/ha","12353.5","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01499.04","Tallowtree seeds","2023","2023","kg/ha","2470.4","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01324","Tangerines, mandarins, clementines","2023","2023","kg/ha","13499.1","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01550","Taro","2023","2023","kg/ha","7523.3","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01620","Tea leaves","2023","2023","kg/ha","6663.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01234","Tomatoes","2023","2023","kg/ha","35532.5","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01191","Triticale","2023","2023","kg/ha","3835.7","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01929.02","True hemp, raw or retted","2023","2023","kg/ha","3675.6","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01499.02","Tung nuts","2023","2023","kg/ha","2719.6","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01970","Unmanufactured tobacco","2023","2023","kg/ha","1869.3","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01658","Vanilla, raw","2023","2023","kg/ha","80.1","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01709.01","Vetches","2023","2023","kg/ha","2023","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01376","Walnuts, in shell","2023","2023","kg/ha","3185.9","A","Official figure",""
"QCL","Crops and livestock products","001","World","5412","Yield","01221","Watermelons","2023","2023","kg/ha","34483.9","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","0111","Wheat","2023","2023","kg/ha","3625","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01540","Yams","2023","2023","kg/ha","8421.6","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5412","Yield","01591","Yautia","2023","2023","kg/ha","12428.8","E","Estimated value",""
